Self-contained mixed benchmark wrappers generated by generate_selfcontained_mixed_wrappers.m
Variables follow the fixed cyclic pattern C,K,D,C,D,K,...
Heterogeneity strategies apply ONLY to continuous variables.

baseline_1/ackley_k108_k34_k21_10D.m    (p=1, n=10, strategy=baseline, kappa=1)
spatial_thermal_9e4/transistor_k89_k68_k49_9D.m    (p=62, n=9, strategy=spatial_thermal, kappa=90000)
halton_oscillatory_1e6/transistor_k89_k68_k49_9D.m    (p=62, n=9, strategy=halton_oscillatory, kappa=1000000)
baseline_1/wood_k47_4D.m    (p=63, n=4, strategy=baseline, kappa=1)
moderate_1e4/wood_k47_4D.m    (p=63, n=4, strategy=moderate, kappa=10000)
progressive_1e6/wood_k47_4D.m    (p=63, n=4, strategy=progressive, kappa=1000000)
extreme_1e8/wood_k47_4D.m    (p=63, n=4, strategy=extreme, kappa=100000000)
sobol_oscillatory_1e6/wood_k47_4D.m    (p=63, n=4, strategy=sobol_oscillatory, kappa=1000000)
sobol_digit_oscillatory_1e8/wood_k47_4D.m    (p=63, n=4, strategy=sobol_digit_oscillatory, kappa=100000000)
spatial_thermal_9e4/wood_k47_4D.m    (p=63, n=4, strategy=spatial_thermal, kappa=90000)
halton_oscillatory_1e6/wood_k47_4D.m    (p=63, n=4, strategy=halton_oscillatory, kappa=1000000)
